timestamp	cpu_percent	memory_usage	conntrack_count	nf_conntrack_objects	nf_conntrack_bytes	memory_current	memory_peak_cgroup	memory_anon	memory_file	memory_kernel	memory_sock	pids_current	threads_current
1788510620.678767333	2.47%	13.74MiB / 1GiB				15028224	17211392	15540224	618496	1196032	106496	8	8
1788510622.686938478	35.74%	261.4MiB / 1GiB				274714624	277872640	252895232	618496	21200896	0	8	8
1788510624.694779522	0.00%	261.4MiB / 1GiB				274714624	277872640	252895232	618496	21200896	0	8	8
1788510626.711318112	54.82%	360.2MiB / 1GiB				378314752	380776448	347893760	618496	29995008	73728	9	9
1788510628.711748685	48.53%	607.5MiB / 1GiB				640765952	643215360	592150528	618496	51875840	159744	11	11
1788510630.719048885	0.00%	624.7MiB / 1GiB				655663104	657846272	602820608	618496	52224000	0	11	11
1788510632.730920496	118.27%	844.2MiB / 1GiB				885669888	886652928	815165440	618496	69853184	0	11	11
1788510634.740176527	54.95%	877.7MiB / 1GiB				921833472	924704768	844791808	618496	78827520	221184	11	11
1788510636.747592637	0.00%	909.6MiB / 1GiB				954425344	955142144	874196992	618496	79609856	0	11	11
1788510638.759695867	198.93%	928.8MiB / 1GiB				975818752	976076800	889122816	618496	85065728	548864	23	23
1788510640.765265235	198.62%	945.2MiB / 1GiB				992301056	992845824	902455296	618496	88285184	548864	23	23
1788510642.774107709	45.50%	956.8MiB / 1GiB				1003589632	1004134400	911872000	618496	89804800	0	23	23
1788510644.779388332	184.11%	969MiB / 1GiB				1017032704	1017139200	921092096	618496	93102080	53248	23	23
1788510646.788319696	218.50%	988.9MiB / 1GiB				1037111296	1038520320	935624704	618496	96907264	1650688	23	23
1788510648.794849561	214.56%	1007MiB / 1GiB				1055133696	1056997376	951476224	618496	100556800	327680	25	25
1788510650.815726271	200.83%	1022MiB / 1GiB				1072934912	1073299456	965287936	618496	103825408	569344	26	26
1788510652.820566732	188.68%	1024MiB / 1GiB				1073733632	1073754112	956317696	0	106483712	270336	26	26
1788510654.827980658	201.31%	1020MiB / 1GiB				1069555712	1073758208	948195328	0	109228032	724992	26	26
1788510656.859776510	196.36%	1022MiB / 1GiB				1071144960	1073823744	947810304	0	112594944	8192	26	26
1788510658.850154519	205.49%	1024MiB / 1GiB				1073422336	1073823744	946933760	0	115359744	847872	27	27
1788510660.879121521	204.49%	1024MiB / 1GiB				1073704960	1073823744	944607232	0	118255616	434176	27	27
1788510662.870315597	204.92%	1023MiB / 1GiB				1073537024	1073823744	941195264	0	120516608	929792	27	27
1788510664.892058634	198.41%	1024MiB / 1GiB				1073696768	1073823744	939966464	0	123162624	450560	27	27
1788510666.885686569	207.12%	1024MiB / 1GiB				1073676288	1073823744	935546880	0	126050304	1355776	27	27
1788510668.890188004	201.19%	1024MiB / 1GiB				1073545216	1073823744	933949440	0	128708608	319488	27	27
1788510670.904704275	197.05%	1024MiB / 1GiB				1073565696	1073823744	931540992	0	131334144	991232	27	27
1788510672.907201733	206.15%	1024MiB / 1GiB				1073606656	1073823744	937578496	0	134197248	442368	27	27
1788510674.916478480	205.29%	1022MiB / 1GiB				1071353856	1073823744	933756928	0	136552448	655360	27	27
1788510676.932201653	201.60%	1024MiB / 1GiB				1073664000	1073831936	933318656	0	139276288	921600	27	27
1788510678.940387941	199.70%	1024MiB / 1GiB				1073242112	1073831936	929759232	0	142331904	696320	27	27
1788510680.944104742	198.50%	1024MiB / 1GiB				1073586176	1073831936	926437376	0	144719872	1929216	27	27
1788510682.962612659	194.42%	1018MiB / 1GiB				1067503616	1073831936	919121920	0	146989056	401408	27	27
1788510684.983107220	201.20%	1024MiB / 1GiB				1073483776	1073831936	920973312	0	149872640	1011712	27	27
1788510686.974521638	177.34%	1021MiB / 1GiB				1071374336	1073831936	911462400	0	151834624	417792	27	27
1788510688.985900920	167.13%	1024MiB / 1GiB				1073618944	1073831936	910749696	0	154349568	626688	27	27
1788510690.997473252	164.07%	1024MiB / 1GiB				1073700864	1073831936	906948608	0	155938816	786432	27	27
1788510692.998516305	141.05%	1024MiB / 1GiB				1073664000	1073831936	892379136	0	157028352	221184	27	27
1788510695.012646343	183.23%	1024MiB / 1GiB				1073565696	1073831936	906203136	0	158420992	1101824	27	27
1788510697.024773748	149.17%	1024MiB / 1GiB				1073741824	1073831936	893968384	0	160169984	1486848	27	27
1788510699.038665011	145.43%	1024MiB / 1GiB				1073741824	1074184192	874487808	0	159756288	1249280	27	27
1788510701.058580757	200.49%	1024MiB / 1GiB				1073565696	1074184192	873836544	4096	161005568	1830912	27	27
1788510703.061009797	202.43%	1.002GiB / 1GiB				1073741824	1075773440	880160768	4096	161787904	3977216	27	27
1788510705.070558075	203.35%	1024MiB / 1GiB				1073692672	1075773440	879919104	4096	162287616	4534272	27	27
1788510707.073698844	207.68%	1024MiB / 1GiB				1073717248	1075773440	883937280	4096	161546240	3612672	27	27
1788510709.083704365	203.99%	1024MiB / 1GiB				1073709056	1075773440	885125120	4096	161464320	3231744	27	27
1788510711.088125628	201.99%	1024MiB / 1GiB				1073696768	1075773440	887422976	4096	161837056	3796992	30	30
1788510713.095145189	201.42%	1024MiB / 1GiB				1073676288	1075773440	889683968	4096	162344960	3739648	30	30
1788510715.104993281	201.75%	1024MiB / 1GiB				1073643520	1075773440	890834944	4096	162078720	3375104	31	31
1788510717.115967596	201.43%	1024MiB / 1GiB				1073410048	1075773440	891895808	4096	161746944	3497984	31	31
1788510719.129033060	201.73%	1018MiB / 1GiB				1066508288	1075773440	892407808	4096	161169408	3203072	31	31
1788510721.141113737	203.40%	1022MiB / 1GiB				1070702592	1075773440	895356928	4096	160968704	4870144	31	31
1788510723.156626008	202.43%	1024MiB / 1GiB				1073319936	1075773440	899837952	4096	161325056	5541888	31	31
1788510725.164590895	202.89%	1024MiB / 1GiB				1073184768	1075773440	898949120	4096	162603008	6717440	34	34
1788510727.166042034	201.10%	1019MiB / 1GiB				1069322240	1075773440	893440000	4096	163356672	6717440	34	34
1788510729.167735094	204.16%	1019MiB / 1GiB				1068986368	1075773440	894046208	4096	163409920	6713344	34	34
1788510731.184913981	204.19%	1020MiB / 1GiB				1068756992	1075773440	894050304	4096	163819520	6782976	36	36
1788510733.185641930	205.53%	1020MiB / 1GiB				1068740608	1075773440	894169088	4096	163692544	6782976	36	36
1788510735.202628349	208.38%	1020MiB / 1GiB				1068679168	1075773440	894595072	4096	163368960	6406144	36	36
1788510737.203608426	201.24%	1020MiB / 1GiB				1069211648	1075773440	894664704	4096	163807232	6365184	36	36
1788510739.211021489	200.05%	1018MiB / 1GiB				1067204608	1075773440	893399040	4096	163348480	6365184	36	36
1788510741.218990867	201.35%	1016MiB / 1GiB				1065734144	1075773440	893579264	4096	162414592	5615616	36	36
1788510743.223478385	200.18%	1013MiB / 1GiB				1062100992	1075773440	891912192	4096	161116160	4964352	36	36
1788510745.254029024	203.77%	1014MiB / 1GiB				1062473728	1075773440	892473344	4096	161185792	4710400	36	36
1788510747.247617258	199.72%	1014MiB / 1GiB				1062674432	1075773440	893095936	4096	160747520	4456448	36	36
1788510749.270541889	200.19%	1010MiB / 1GiB				1057566720	1075773440	890679296	4096	160206848	2617344	36	36
1788510751.264015117	202.26%	1012MiB / 1GiB				1060835328	1075773440	890900480	4096	161038336	3514368	37	37
1788510753.266160061	204.30%	1005MiB / 1GiB				1053650944	1075773440	885174272	4096	160866304	3211264	37	37
1788510755.272382077	211.98%	1007MiB / 1GiB				1054420992	1075773440	884764672	4096	161234944	4059136	37	37
1788510757.288798030	206.29%	1009MiB / 1GiB				1057755136	1075773440	887328768	4096	161976320	4050944	37	37
1788510759.291716708	203.44%	1005MiB / 1GiB				1054298112	1075773440	884527104	4096	161837056	3260416	37	37
1788510761.301275795	214.24%	1007MiB / 1GiB				1054982144	1075773440	883916800	4096	162226176	4468736	37	37
1788510763.307150306	202.92%	1005MiB / 1GiB				1053151232	1075773440	886022144	4096	160579584	2392064	37	37
1788510765.315044608	200.77%	1002MiB / 1GiB				1049620480	1075773440	881975296	4096	160407552	2658304	37	37
1788510767.319286442	199.65%	1005MiB / 1GiB				1053503488	1075773440	884465664	4096	161189888	3006464	37	37
1788510769.340720637	202.28%	1024MiB / 1GiB				1073528832	1085923328	862969856	4096	161071104	41754624	37	37
1788510771.344067003	208.45%	1024MiB / 1GiB				1073471488	1085923328	862396416	4096	160419840	41799680	37	37
1788510773.355302101	201.24%	1024MiB / 1GiB				1073233920	1085923328	859131904	4096	158699520	42999808	37	37
1788510775.353976509	156.95%	1024MiB / 1GiB				1073582080	1085923328	891420672	4096	121188352	43671552	37	37
1788510777.367245526	188.53%	1024MiB / 1GiB				1073709056	1085923328	898883584	4096	111017984	43581440	37	37
1788510779.372014854	205.19%	1024MiB / 1GiB				1073704960	1085923328	900431872	4096	111001600	43343872	37	37
1788510781.379800797	212.76%	1024MiB / 1GiB				1073426432	1085923328	901697536	4096	111243264	43356160	37	37
1788510783.393098602	208.11%	1024MiB / 1GiB				1073524736	1085923328	904036352	4096	111915008	43356160	37	37
1788510785.396577061	203.55%	1024MiB / 1GiB				1073496064	1085923328	905789440	4096	112594944	43356160	37	37
1788510787.417473514	202.80%	1024MiB / 1GiB				1073651712	1085923328	906104832	4096	112721920	43356160	38	38
1788510789.424558665	195.71%	958.4MiB / 1GiB				1004601344	1085923328	825331712	77824	112070656	43200512	38	38
1788510791.438684076	201.28%	962.7MiB / 1GiB				1008889856	1085923328	828932096	77824	111960064	43200512	38	38
1788510793.458895216	201.13%	965.9MiB / 1GiB				1012617216	1085923328	833916928	77824	111480832	43200512	38	38
1788510795.469542999	203.96%	966MiB / 1GiB				1014071296	1085923328	834519040	77824	110817280	43679744	38	38
1788510797.468798463	202.88%	940MiB / 1GiB				985767936	1085923328	659660800	90112	108974080	42721280	38	38
1788510799.478230427	206.11%	938.2MiB / 1GiB				984408064	1085923328	659968000	90112	108523520	41717760	38	38
1788510801.490779169	215.23%	934.2MiB / 1GiB				978116608	1085923328	607956992	90112	109465600	42958848	38	38
1788510803.492817590	212.95%	935.1MiB / 1GiB				979816448	1085923328	608575488	90112	110145536	42905600	38	38
1788510805.500810374	209.00%	934.2MiB / 1GiB				978862080	1085923328	607764480	90112	110297088	42893312	38	38
1788510807.506431981	202.44%	937.9MiB / 1GiB				983007232	1085923328	618471424	122880	110051328	42852352	38	38
1788510809.519188455	202.08%	937.9MiB / 1GiB				982757376	1085923328	619073536	122880	110002176	42582016	38	38
1788510811.533803407	200.89%	936.9MiB / 1GiB				981663744	1085923328	619429888	122880	109015040	42123264	38	38
1788510813.530263442	201.39%	936MiB / 1GiB				981553152	1085923328	618864640	122880	108699648	42881024	38	38
1788510815.536237951	198.64%	934.9MiB / 1GiB				979652608	1085923328	615817216	122880	109142016	43384832	38	38
1788510817.557886468	202.07%	937.2MiB / 1GiB				981848064	1085923328	617828352	122880	109748224	43876352	38	38
1788510819.568628471	203.70%	939.8MiB / 1GiB				985993216	1085923328	619745280	122880	110137344	44253184	38	38
1788510821.569913528	202.13%	941.3MiB / 1GiB				986423296	1085923328	620474368	122880	110350336	44912640	38	38
1788510823.570877462	199.89%	940MiB / 1GiB				985272320	1085923328	620912640	122880	109367296	44810240	38	38
1788510825.577096877	197.29%	941.2MiB / 1GiB				986595328	1085923328	620658688	122880	110264320	45010944	38	38
1788510827.581089388	210.85%	973.5MiB / 1GiB				1020043264	1085923328	625823744	122880	110043136	74084352	38	38
1788510829.599918494	212.39%	973.3MiB / 1GiB				1020809216	1085923328	624279552	122880	109342720	74432512	38	38
1788510831.605749309	184.14%	959MiB / 1GiB				1005043712	1085923328	615501824	122880	91914240	74919936	38	38
1788510833.615955081	188.47%	948.8MiB / 1GiB				994869248	1085923328	528044032	122880	72699904	81035264	38	38
1788510835.622030944	0.00%	952.8MiB / 1GiB				999247872	1085923328	538329088	122880	71987200	74616832	38	38
1788510837.635180846	47.51%	958.3MiB / 1GiB				1004834816	1085923328	544518144	122880	73302016	74481664	38	38
1788510839.638388451	0.00%	958MiB / 1GiB				1004634112	1085923328	544518144	122880	73293824	74289152	38	38
1788510841.654877619	0.00%	957.7MiB / 1GiB				1004294144	1085923328	544518144	122880	73293824	73949184	38	38
1788510843.665424156	0.00%	956.2MiB / 1GiB				1002733568	1085923328	541384704	122880	74698752	73748480	38	38
1788510845.663583232	0.00%	956.2MiB / 1GiB				1002672128	1085923328	541384704	122880	74698752	73687040	38	38
1788510847.672642974	0.00%	956.1MiB / 1GiB				1002672128	1085923328	541769728	122880	74698752	73687040	38	38
1788510849.687859962	85.61%	963.1MiB / 1GiB				1010089984	1085923328	556126208	122880	51728384	87449600	38	38
1788510851.688559657	0.00%	958MiB / 1GiB				1004634112	1085923328	561979392	122880	42663936	87408640	38	38
1788510853.704920039	0.00%	957.9MiB / 1GiB				1004576768	1085923328	561979392	122880	42663936	87351296	38	38
1788510855.709025634	0.00%	957.2MiB / 1GiB				1003851776	1085923328	561979392	122880	42663936	86626304	38	38
1788510857.720795936	36.79%	961.6MiB / 1GiB				1008672768	1085923328	567316480	122880	31494144	98111488	38	38
