timestamp	cpu_percent	memory_usage	conntrack_count	nf_conntrack_objects	nf_conntrack_bytes	memory_current	memory_peak_cgroup	memory_anon	memory_file	memory_kernel	memory_sock	pids_current	threads_current
1788512126.929980241	2.55%	612KiB / 1GiB	663	89729	23346688	1007616	11575296	114688	262144	614400	0	1	1
1788512128.865539436	2.01%	632KiB / 1GiB	5330	102259	26255360	1351680	11575296	114688	262144	811008	0	1	1
1788512130.852883488	2.34%	796KiB / 1GiB	9080	113309	29007104	1183744	11575296	114688	262144	528384	0	1	1
1788512132.874798767	2.35%	824KiB / 1GiB	13377	125350	32089600	1228800	11575296	114688	262144	819200	0	1	1
1788512134.875856677	2.86%	868KiB / 1GiB	13377	125350	32089600	1380352	12980224	114688	262144	974848	0	1	1
1788512136.876658757	0.01%	796KiB / 1GiB	13377	125350	32089600	1347584	12980224	114688	262144	958464	0	1	1
1788512138.893248283	2.09%	792KiB / 1GiB	18266	141167	36138752	1359872	12980224	114688	262144	962560	0	1	1
1788512140.900378856	2.25%	820KiB / 1GiB	18750	104708	26805248	1605632	12980224	114688	262144	770048	0	1	1
1788512142.930627074	2.15%	796KiB / 1GiB	20215	109313	28183040	1191936	12980224	114688	262144	851968	0	6	1
1788512144.914567340	2.10%	788KiB / 1GiB	23684	120816	30928896	1331200	12980224	114688	262144	937984	0	1	1
1788512146.942459609	2.35%	788KiB / 1GiB	27434	132080	33812480	1384448	13242368	114688	262144	778240	0	1	1
1788512148.956541505	2.65%	792KiB / 1GiB	31086	142746	36542976	1253376	13242368	114688	262144	520192	0	1	1
1788512150.946655243	2.39%	820KiB / 1GiB	32048	145041	37130496	1265664	13242368	114688	262144	884736	0	1	1
1788512153.016254517	2.81%	792KiB / 1GiB	32111	146314	37547520	987136	13242368	114688	262144	565248	0	1	1
1788512154.961946575	2.31%	800KiB / 1GiB	33151	148180	37934080	1290240	13242368	114688	262144	552960	0	1	1
1788512156.968275719	2.47%	856KiB / 1GiB	33151	148180	37934080	1359872	13242368	114688	262144	802816	0	1	1
1788512158.998449802	2.88%	800KiB / 1GiB	33651	150106	38476032	1335296	13242368	114688	262144	802816	0	1	1
1788512161.006177943	2.87%	876KiB / 1GiB	36227	156922	40172032	1323008	13242368	114688	262144	811008	0	1	1
1788512163.008002370	2.01%	2.879MiB / 1GiB	36227	156922	40172032	1363968	13242368	114688	262144	811008	0	1	1
1788512165.005731377	2.19%	800KiB / 1GiB	36438	157397	40293632	1355776	19505152	114688	262144	774144	0	1	1
1788512167.007228600	2.30%	804KiB / 1GiB	36675	157966	40439296	1282048	19505152	114688	262144	593920	0	1	1
1788512169.084203275	2.44%	800KiB / 1GiB	36674	145923	35927296	1359872	19505152	114688	262144	888832	0	1	1
1788512171.113529765	2.32%	788KiB / 1GiB	40173	141911	36511488	8728576	19505152	5996544	262144	1413120	0	1	1
1788512173.133652006	2.35%	872KiB / 1GiB	41002	144417	36950272	1359872	19505152	114688	262144	815104	0	1	1
1788512175.108497187	2.27%	860KiB / 1GiB	41002	122701	31411456	1409024	19505152	114688	262144	978944	0	1	1
1788512177.141692855	2.20%	792KiB / 1GiB	42752	129157	33063424	1384448	19505152	114688	262144	974848	0	1	1
1788512179.094599137	2.37%	864KiB / 1GiB	43064	129224	33081344	1372160	19505152	114688	262144	831488	0	1	1
1788512181.112429975	2.38%	796KiB / 1GiB	43064	129223	33081088	1343488	19505152	114688	262144	958464	0	1	1
1788512183.131731672	2.37%	804KiB / 1GiB	44472	133352	34138112	1413120	19505152	114688	262144	540672	0	1	1
1788512185.130976494	2.25%	792KiB / 1GiB	44904	134595	34456320	1204224	19505152	114688	262144	589824	0	1	1
1788512187.143937930	2.22%	796KiB / 1GiB	44904	134595	34456320	1380352	19505152	114688	262144	815104	0	1	1
1788512189.171387451	2.25%	788KiB / 1GiB	46513	139580	35902208	1335296	19505152	114688	262144	618496	0	1	1
1788512191.172770329	2.16%	1.133MiB / 1GiB	47210	141619	36254464	1306624	19505152	114688	262144	815104	0	1	1
1788512193.159105419	1.21%	800KiB / 1GiB	47926	143711	36790016	1368064	19505152	114688	262144	888832	0	1	1
1788512195.169858410	2.35%	796KiB / 1GiB	48166	144409	36968704	1355776	19505152	114688	262144	962560	0	1	1
1788512197.191796050	2.21%	792KiB / 1GiB	48166	144409	36968704	1204224	19505152	114688	262144	598016	0	1	1
1788512199.263210606	2.27%	796KiB / 1GiB	48156	143889	36808448	2895872	19505152	114688	262144	962560	0	1	1
1788512201.191673278	2.16%	804KiB / 1GiB	48040	120411	30825216	1339392	19505152	114688	262144	614400	0	1	1
1788512203.215566093	2.07%	792KiB / 1GiB	48040	120411	30825216	1318912	19505152	114688	262144	868352	0	1	1
1788512205.214552344	2.14%	812KiB / 1GiB	48040	120411	30825216	1363968	19505152	114688	262144	905216	0	1	1
1788512207.249444116	2.00%	848KiB / 1GiB	48040	120429	30829824	1204224	19505152	114688	262144	540672	0	1	1
1788512209.241991576	3.06%	876KiB / 1GiB	48040	120429	30829824	1368064	19505152	114688	262144	815104	0	1	1
1788512211.268604820	2.28%	796KiB / 1GiB	47613	101337	25942272	1363968	19505152	114688	262144	643072	0	1	1
