timestamp	cpu_percent	memory_usage	conntrack_count	nf_conntrack_objects	nf_conntrack_bytes	memory_current	memory_peak_cgroup	memory_anon	memory_file	memory_kernel	memory_sock	pids_current	threads_current
1788508522.000878090	12.46%	182.7MiB / 1GiB				192102400	192671744	187314176	16384	5173248	8192	3	1
1788508524.012113870	37.39%	279MiB / 1GiB				292012032	293298176	259063808	16384	32927744	0	3	1
1788508526.012596102	0.00%	311.6MiB / 1GiB				326782976	327958528	284086272	16384	42680320	0	3	1
1788508528.019876381	13.14%	325MiB / 1GiB				340787200	341340160	294113280	16384	46657536	0	3	1
1788508530.036367166	0.00%	325MiB / 1GiB				340787200	341340160	294113280	16384	46657536	0	3	1
1788508532.038006628	0.00%	329.3MiB / 1GiB				345313280	346054656	297369600	16384	47927296	0	3	1
1788508534.045418386	0.00%	352.1MiB / 1GiB				369221632	369799168	314527744	16384	54677504	0	3	1
1788508536.051497886	8.33%	360.6MiB / 1GiB				378081280	378761216	320897024	16384	57167872	0	3	1
1788508538.060944467	33.79%	391.5MiB / 1GiB				410554368	411713536	344264704	16384	66269184	0	3	1
1788508540.070336607	0.00%	419.4MiB / 1GiB				439758848	440913920	365285376	16384	74457088	0	3	1
1788508542.079612556	0.00%	423.4MiB / 1GiB				444022784	444968960	368353280	16384	75653120	0	3	1
1788508544.091411739	160.68%	456.2MiB / 1GiB				478633984	478900224	393084928	16384	83910656	1228800	3	1
1788508546.101519336	110.28%	467.4MiB / 1GiB				490090496	491036672	402980864	16384	87085056	0	3	1
1788508548.113219510	2.79%	477MiB / 1GiB				500183040	501522432	410152960	16384	90013696	0	3	1
1788508550.121326787	200.33%	489.3MiB / 1GiB				513335296	513593344	417411072	16384	93855744	1830912	3	1
1788508552.125866891	200.44%	503.8MiB / 1GiB				528302080	528801792	428167168	16384	98000896	1748992	3	1
1788508554.139487588	178.87%	529.7MiB / 1GiB				555773952	556032000	451174400	16384	102846464	1462272	3	1
1788508556.151883047	163.46%	544.6MiB / 1GiB				570920960	571707392	463306752	16384	107077632	552960	3	1
1788508558.152571462	177.44%	557.5MiB / 1GiB				584642560	585158656	472895488	16384	110841856	598016	3	1
1788508560.164919271	201.58%	570.7MiB / 1GiB				598212608	598740992	480530432	16384	114921472	2609152	3	1
1788508562.177223878	199.96%	581.5MiB / 1GiB				610103296	610369536	489803776	16384	118075392	1777664	3	1
1788508564.179444982	178.06%	603MiB / 1GiB				632356864	632614912	510398464	16384	121266176	466944	3	1
1788508566.195317872	178.16%	614.5MiB / 1GiB				644382720	644640768	518582272	16384	124706816	921600	3	1
1788508568.196000004	200.17%	625.8MiB / 1GiB				656572416	657088512	524046336	16384	128344064	3690496	3	1
1788508570.204727629	200.65%	639.1MiB / 1GiB				670216192	670474240	535384064	16384	132083712	2465792	3	1
1788508572.215868200	200.38%	649.7MiB / 1GiB				681336832	681594880	544231424	16384	135073792	1605632	3	1
1788508574.226581149	190.24%	659.6MiB / 1GiB				691740672	691998720	552861696	16384	137912320	647168	3	1
1788508576.230237661	200.23%	678.3MiB / 1GiB				711299072	711782400	567582720	16384	140709888	2768896	3	1
1788508578.237382486	179.55%	690.1MiB / 1GiB				723615744	723881984	578859008	16384	143880192	532480	3	1
1788508580.245536307	199.96%	699.5MiB / 1GiB				733466624	733724672	584605696	16384	146792448	1761280	3	1
1788508582.257198667	200.17%	709.8MiB / 1GiB				744349696	744865792	592105472	16384	149868544	2039808	3	1
1788508584.267522402	200.09%	720.5MiB / 1GiB				755548160	755806208	599945216	16384	153075712	2322432	3	1
1788508586.272501096	179.47%	741.4MiB / 1GiB				777465856	778457088	620593152	16384	156033024	557056	3	1
1788508588.278929612	199.91%	750.2MiB / 1GiB				786956288	787472384	624889856	16384	158892032	2719744	3	1
1788508590.285837218	0.00%	754.2MiB / 1GiB				790798336	792698880	631005184	16384	159776768	0	3	1
1788508592.294240130	199.96%	759.9MiB / 1GiB				796856320	796930048	633556992	16384	161484800	1273856	3	1
1788508594.306893232	200.06%	760MiB / 1GiB				796921856	796930048	633561088	16384	161562624	1273856	3	1
1788508596.315822550	200.32%	770.8MiB / 1GiB				808300544	808407040	646189056	16384	161587200	0	3	1
1788508598.325544316	199.35%	770.8MiB / 1GiB				808288256	808407040	646189056	16384	161566720	8192	3	1
1788508600.332518475	199.95%	770.9MiB / 1GiB				808325120	808407040	646189056	16384	161611776	0	3	1
