timestamp	cpu_percent	memory_usage	conntrack_count	nf_conntrack_objects	nf_conntrack_bytes	memory_current	memory_peak_cgroup	memory_anon	memory_file	memory_kernel	memory_sock	pids_current	threads_current
1788511848.350094114	2.93%	8.887MiB / 1GiB				9318400	10227712	6922240	0	2326528	876544	13	13
1788511850.346767752	0.06%	78.21MiB / 1GiB				82006016	82518016	64086016	0	17920000	0	13	13
1788511852.357726494	0.08%	78.21MiB / 1GiB				82006016	82518016	64086016	0	17920000	0	13	13
1788511854.375587515	56.30%	129MiB / 1GiB				135258112	135749632	105308160	0	29945856	0	13	13
1788511856.370377962	0.05%	139MiB / 1GiB				145735680	146219008	113434624	0	32301056	0	13	13
1788511858.377449070	0.06%	139MiB / 1GiB				145735680	146219008	113434624	0	32301056	0	13	13
1788511860.389728773	51.47%	201.6MiB / 1GiB				211345408	211980288	164179968	0	47165440	0	13	13
1788511862.405303023	0.05%	201.6MiB / 1GiB				211345408	211980288	164179968	0	47165440	0	13	13
1788511864.405084868	12.51%	211.8MiB / 1GiB				222085120	222597120	172507136	0	49573888	0	13	13
1788511866.414085395	46.73%	275MiB / 1GiB				288346112	288833536	223875072	0	64471040	0	13	13
1788511868.424889985	86.10%	344.9MiB / 1GiB				361627648	361951232	279990272	0	81125376	278528	13	13
1788511870.433370105	198.69%	358.3MiB / 1GiB				375754752	376414208	289648640	0	84951040	1191936	13	13
1788511872.444926287	183.57%	378.1MiB / 1GiB				396423168	396935168	307445760	0	88719360	0	13	13
1788511874.446706464	177.29%	394.5MiB / 1GiB				413990912	414466048	320647168	0	92708864	143360	13	13
1788511876.460841707	195.00%	408MiB / 1GiB				428011520	428380160	330919936	0	96333824	376832	13	13
1788511878.462643034	176.85%	423.2MiB / 1GiB				443715584	444305408	344080384	0	99622912	0	13	13
1788511880.474034197	188.97%	436.7MiB / 1GiB				458018816	458514432	353792000	0	103157760	598016	13	13
1788511882.480837292	189.53%	453.6MiB / 1GiB				475611136	476110848	368803840	0	106799104	0	13	13
1788511884.489863345	93.27%	457.6MiB / 1GiB				480096256	480354304	371408896	0	107925504	278528	13	13
1788511886.504408881	163.50%	472.7MiB / 1GiB				495702016	496201728	383643648	0	111591424	311296	13	13
1788511888.505260773	200.03%	487.4MiB / 1GiB				511295488	511811584	395890688	0	114933760	94208	13	13
1788511890.511775158	199.05%	497.8MiB / 1GiB				522006528	522272768	403132416	0	117829632	815104	13	13
1788511892.523350922	200.06%	508.7MiB / 1GiB				533458944	533716992	411222016	0	120729600	1310720	13	13
1788511894.543925684	199.27%	527.3MiB / 1GiB				553078784	553336832	427995136	0	124420096	364544	13	13
1788511896.540313730	37.59%	536.6MiB / 1GiB				562655232	563425280	436277248	0	126377984	0	13	13
1788511898.543187674	133.69%	539.1MiB / 1GiB				565694464	565952512	437047296	0	127455232	708608	13	13
1788511900.555929208	179.38%	550.7MiB / 1GiB				577601536	577859584	446267392	0	130232320	671744	13	13
1788511902.570963088	199.50%	562.6MiB / 1GiB				589910016	590176256	456761344	0	132681728	258048	13	13
1788511904.570463341	199.20%	574.4MiB / 1GiB				602259456	602525696	465858560	0	135593984	475136	13	13
