timestamp	cpu_percent	memory_usage	conntrack_count	nf_conntrack_objects	nf_conntrack_bytes	memory_current	memory_peak_cgroup	memory_anon	memory_file	memory_kernel	memory_sock	pids_current	threads_current
1788515183.292209467	6.71%	20.77MiB / 1GiB				22188032	22695936	20058112	434176	1912832	258048	7	7
1788515185.302915358	0.00%	145.8MiB / 1GiB				153321472	155725824	140795904	434176	12091392	0	7	7
1788515187.308825737	0.00%	145.8MiB / 1GiB				153321472	155725824	140795904	434176	12091392	0	7	7
1788515189.323012200	64.78%	251.2MiB / 1GiB				263819264	266346496	242274304	434176	21110784	0	8	8
1788515191.328469023	0.00%	251.2MiB / 1GiB				263819264	266346496	242274304	434176	21110784	0	8	8
1788515193.339617607	0.00%	251.2MiB / 1GiB				263819264	266346496	242274304	434176	21110784	0	8	8
1788515195.350934345	73.98%	433.7MiB / 1GiB				455229440	456208384	419115008	434176	35680256	0	8	8
1788515197.351621150	0.00%	433.7MiB / 1GiB				455229440	456208384	419115008	434176	35680256	0	8	8
1788515199.362806975	9.64%	438.5MiB / 1GiB				462508032	466698240	426065920	434176	37969920	40960	8	8
1788515201.374358177	30.05%	719.2MiB / 1GiB				754524160	756756480	695091200	434176	58998784	0	9	9
1788515203.378521706	0.00%	719.2MiB / 1GiB				754524160	756756480	695091200	434176	58998784	0	9	9
1788515205.391540827	68.11%	781.9MiB / 1GiB				820285440	821075968	755208192	434176	64643072	0	9	9
1788515207.396468818	0.00%	787.2MiB / 1GiB				825921536	826568704	757022720	434176	68464640	0	9	9
1788515209.401933729	0.00%	787.2MiB / 1GiB				825921536	826568704	757022720	434176	68464640	0	9	9
1788515211.417606262	168.59%	893.2MiB / 1GiB				937398272	937795584	853590016	434176	82780160	126976	9	9
1788515213.423037060	4.84%	899.1MiB / 1GiB				943251456	945369088	857935872	434176	84881408	0	19	19
1788515215.442640013	0.00%	899.1MiB / 1GiB				943251456	945369088	857935872	434176	84881408	0	19	19
1788515217.461813797	201.34%	913.3MiB / 1GiB				957296640	959766528	869945344	434176	88276992	1019904	23	23
1788515219.451157885	199.73%	934.8MiB / 1GiB				981069824	986480640	884637696	434176	92102656	225280	24	24
1788515221.470850995	201.04%	947.7MiB / 1GiB				993456128	999038976	893960192	434176	95150080	577536	26	26
