timestamp	cpu_percent	memory_usage	conntrack_count	nf_conntrack_objects	nf_conntrack_bytes	memory_current	memory_peak_cgroup	memory_anon	memory_file	memory_kernel	memory_sock	pids_current	threads_current
1788517197.328578326	2.47%	616KiB / 1GiB	1258	54298	14057728	1044480	10944512	114688	262144	524288	0	1	1
1788517199.203089465	2.77%	700KiB / 1GiB	3005	57729	14778624	1372160	10944512	114688	262144	888832	0	1	1
1788517201.246274306	2.63%	864KiB / 1GiB	3005	57729	14778624	1290240	12750848	114688	262144	806912	0	1	1
1788517203.299855609	2.69%	1.32MiB / 1GiB	4352	62732	16295680	1187840	12750848	114688	262144	782336	0	1	1
1788517205.301005446	2.96%	796KiB / 1GiB	8102	73695	19047424	1208320	12750848	114688	262144	815104	0	1	1
1788517207.266197842	2.45%	808KiB / 1GiB	8595	74404	19047424	1277952	12750848	114688	262144	528384	0	1	1
1788517209.285272995	2.92%	796KiB / 1GiB	11460	83244	21310464	3059712	12750848	3948544	262144	1380352	0	1	1
1788517211.300437951	3.22%	796KiB / 1GiB	11657	83952	21491712	1384448	12750848	114688	262144	778240	0	1	1
1788517213.285562521	2.63%	812KiB / 1GiB	12019	85216	21815296	1351680	12750848	114688	262144	892928	0	1	1
1788517215.318373638	2.89%	796KiB / 1GiB	14769	93974	24125696	1380352	12820480	114688	262144	827392	0	1	1
1788517217.288318427	2.32%	836KiB / 1GiB	15383	95345	24408320	1363968	12820480	114688	262144	815104	0	1	1
1788517219.330515107	2.56%	816KiB / 1GiB	18618	105880	27349504	1372160	12820480	114688	262144	978944	0	1	1
1788517221.321081401	2.31%	820KiB / 1GiB	22376	116843	29911808	1404928	12820480	114688	262144	978944	0	1	1
1788517223.389150148	2.83%	812KiB / 1GiB	23376	120657	31112704	1216512	12820480	114688	262144	782336	0	1	1
1788517225.338592826	2.16%	796KiB / 1GiB	24616	123747	31679232	1331200	12820480	114688	262144	532480	0	1	1
1788517227.348372175	2.44%	816KiB / 1GiB	25941	127840	32727040	1290240	12820480	114688	262144	888832	0	1	1
1788517229.374920789	0.51%	6.551MiB / 1GiB	26691	130719	33464064	1318912	12820480	114688	262144	913408	0	1	1
1788517231.427595639	2.43%	808KiB / 1GiB	27914	134553	34601984	1191936	12820480	114688	262144	524288	0	1	1
1788517233.384115866	2.37%	804KiB / 1GiB	28452	135388	34659328	1429504	12820480	114688	262144	765952	0	1	1
1788517235.388676124	2.48%	800KiB / 1GiB	28633	135787	34761472	1347584	12820480	114688	262144	786432	0	1	1
1788517237.429523284	2.73%	796KiB / 1GiB	30829	142081	36372736	1298432	13037568	114688	262144	806912	0	1	1
1788517239.395065674	2.30%	800KiB / 1GiB	32316	145303	37197568	1347584	13037568	114688	262144	937984	0	1	1
1788517241.440315341	2.04%	800KiB / 1GiB	33052	147659	37800704	1298432	13037568	114688	262144	524288	0	1	1
1788517243.413612735	2.73%	812KiB / 1GiB	38512	160968	41207808	1294336	13037568	114688	262144	602112	0	1	1
1788517245.407778954	2.36%	864KiB / 1GiB	38740	161533	41352448	1359872	13037568	114688	262144	892928	0	1	1
1788517247.501533110	2.85%	832KiB / 1GiB	38990	162709	41653504	1343488	13037568	114688	262144	811008	0	1	1
1788517249.436007113	2.30%	868KiB / 1GiB	39638	163818	41937408	1388544	13037568	114688	262144	831488	0	1	1
1788517251.491445696	2.19%	820KiB / 1GiB	42438	162615	41821696	1220608	13037568	114688	262144	782336	0	1	1
1788517253.464148591	2.17%	816KiB / 1GiB	44537	168283	43258880	1372160	13037568	114688	262144	970752	0	1	1
1788517255.462786512	0.52%	4.758MiB / 1GiB	44787	168980	43258880	1363968	13037568	114688	262144	872448	0	1	1
1788517257.491243405	2.11%	808KiB / 1GiB	45031	169699	43442944	1343488	21995520	114688	262144	888832	0	1	1
1788517259.506198346	2.14%	820KiB / 1GiB	45031	169699	43442944	1376256	21995520	114688	262144	847872	0	1	1
1788517261.541408761	2.95%	880KiB / 1GiB	45031	169699	43442944	3706880	21995520	114688	262144	897024	0	1	1
1788517263.504233879	2.48%	804KiB / 1GiB	46030	172093	44055808	1351680	21995520	114688	262144	819200	0	1	1
1788517265.552915287	2.97%	796KiB / 1GiB	46279	172640	44195840	987136	21995520	114688	262144	524288	0	1	1
1788517267.529756887	2.74%	796KiB / 1GiB	47029	174393	44644608	1277952	21995520	114688	262144	778240	0	1	1
1788517269.562131153	2.02%	800KiB / 1GiB	47247	174889	44771584	1355776	21995520	114688	262144	815104	0	1	1
1788517271.545328794	2.35%	804KiB / 1GiB	47247	174889	44771584	1236992	21995520	114688	262144	528384	0	1	1
1788517273.595059315	2.31%	796KiB / 1GiB	47426	173453	44216064	1204224	21995520	114688	262144	548864	0	1	1
1788517275.564568781	2.83%	932KiB / 1GiB	47430	145223	37177088	1343488	21995520	114688	262144	806912	0	1	1
1788517277.577434433	2.62%	892KiB / 1GiB	47430	145223	37177088	1327104	21995520	114688	262144	798720	0	1	1
1788517279.570536607	2.12%	828KiB / 1GiB	47930	146703	37555968	1376256	21995520	114688	262144	786432	0	1	1
1788517281.571951089	1.93%	3.125MiB / 1GiB	47930	146703	37555968	1347584	21995520	114688	262144	966656	0	1	1
1788517283.677450718	2.59%	800KiB / 1GiB	47930	145101	37025792	974848	21995520	114688	262144	524288	0	1	1
1788517285.612105074	2.50%	796KiB / 1GiB	47511	114464	29302784	1355776	21995520	114688	262144	892928	0	1	1
1788517287.614781415	2.43%	800KiB / 1GiB	47511	114464	29302784	1212416	21995520	114688	262144	823296	0	4	1
1788517289.613952827	2.82%	800KiB / 1GiB	47511	114464	29302784	1363968	21995520	114688	262144	806912	0	1	1
1788517291.630063251	2.56%	860KiB / 1GiB	47511	114464	29302784	1343488	21995520	114688	262144	806912	0	1	1
1788517293.621504250	2.31%	836KiB / 1GiB	47511	114464	29302784	1388544	21995520	114688	262144	974848	0	1	1
1788517295.626050632	3.07%	872KiB / 1GiB	47511	114464	29302784	1417216	21995520	114688	262144	827392	0	1	1
1788517297.670350402	2.65%	872KiB / 1GiB	47511	114462	29302272	1323008	21995520	114688	262144	860160	0	1	1
1788517299.661103627	2.40%	896KiB / 1GiB	47511	114460	29301760	1232896	21995520	114688	262144	819200	0	1	1
1788517301.675747325	2.63%	892KiB / 1GiB	47511	114459	29301504	1376256	21995520	114688	262144	839680	0	1	1
1788517303.680982272	2.30%	804KiB / 1GiB	47511	114458	29301248	1286144	21995520	114688	262144	892928	0	1	1
1788517305.663146324	2.33%	796KiB / 1GiB	47511	114458	29301248	1232896	21995520	114688	262144	561152	0	1	1
