timestamp	cpu_percent	memory_usage	conntrack_count	nf_conntrack_objects	nf_conntrack_bytes	memory_current	memory_peak_cgroup	memory_anon	memory_file	memory_kernel	memory_sock	pids_current	threads_current
1788513498.272400431	13.17%	180.8MiB / 1GiB				190992384	191401984	186421248	16384	4530176	0	3	1
1788513500.270912479	0.00%	220.1MiB / 1GiB				230793216	231755776	215064576	16384	15712256	0	3	1
1788513502.279610339	0.00%	220.1MiB / 1GiB				230793216	231755776	215064576	16384	15712256	0	3	1
1788513504.288582137	30.56%	251.1MiB / 1GiB				263340032	263966720	238436352	16384	24887296	0	3	1
1788513506.298916737	0.00%	251.1MiB / 1GiB				263340032	263966720	238436352	16384	24887296	0	3	1
1788513508.308007822	0.00%	251.1MiB / 1GiB				263340032	263966720	238436352	16384	24887296	0	3	1
1788513510.343437734	51.63%	327.2MiB / 1GiB				342958080	343724032	295690240	16384	47251456	0	3	1
1788513512.350821227	39.48%	396.1MiB / 1GiB				419078144	419352576	350257152	16384	68583424	0	3	1
1788513514.363542492	135.62%	448.6MiB / 1GiB				470831104	471097344	385814528	16384	83214336	1425408	3	1
1788513516.367073233	179.51%	466.5MiB / 1GiB				489435136	489938944	399695872	16384	88440832	1085440	3	1
1788513518.385533494	156.68%	484.1MiB / 1GiB				507916288	508493824	414015488	16384	93437952	36864	3	1
1788513520.387662411	176.50%	500.8MiB / 1GiB				525455360	525721600	427479040	16384	97120256	462848	3	1
1788513522.395116655	199.31%	516.6MiB / 1GiB				541704192	542232576	436465664	16384	102096896	3170304	3	1
1788513524.403133056	179.35%	532.2MiB / 1GiB				558084096	558342144	450953216	16384	106299392	507904	3	1
1788513526.410724741	178.95%	546.3MiB / 1GiB				573014016	573276160	460517376	16384	110641152	1654784	3	1
1788513528.414499760	140.28%	560.4MiB / 1GiB				587919360	588185600	472162304	16384	114647040	671744	3	1
1788513530.425095215	0.00%	565.1MiB / 1GiB				592592896	593104896	476590080	16384	115986432	0	3	1
1788513532.435338566	193.91%	583.8MiB / 1GiB				612184064	613609472	493666304	16384	118501376	0	3	1
1788513534.445449576	200.30%	595MiB / 1GiB				623951872	624435200	500322304	16384	121942016	1527808	3	1
1788513536.451782829	199.59%	607.3MiB / 1GiB				637038592	637300736	508837888	16384	125591552	2158592	3	1
1788513538.465641688	201.09%	619.4MiB / 1GiB				649797632	650063872	518684672	16384	129142784	1613824	3	1
1788513540.472838029	178.04%	630.1MiB / 1GiB				660684800	660942848	527265792	16384	132169728	1044480	3	1
1788513542.478250964	32.01%	645.6MiB / 1GiB				677048320	677421056	542908416	16384	133656576	172032	3	1
1788513544.490586150	189.96%	653.7MiB / 1GiB				685473792	685965312	549376000	16384	136081408	0	3	1
1788513546.495796481	179.48%	663.2MiB / 1GiB				695500800	697245696	556376064	16384	138838016	57344	3	1
1788513548.499535050	0.00%	666.7MiB / 1GiB				699056128	699760640	559153152	16384	139886592	0	3	1
1788513550.514952435	141.05%	674.3MiB / 1GiB				707133440	707391488	563965952	16384	142172160	724992	3	1
1788513552.516375648	176.10%	695.2MiB / 1GiB				729325568	730271744	583471104	16384	145371136	81920	3	1
1788513554.528842055	198.33%	704.8MiB / 1GiB				738963456	739491840	589402112	16384	148328448	1241088	3	1
1788513556.539182062	198.72%	713.6MiB / 1GiB				748277760	748544000	596262912	16384	150872064	1032192	3	1
1788513558.548537986	195.85%	690.5MiB / 1GiB				717496320	810082304	539488256	16384	124088320	49278976	3	1
1788513560.554786748	176.24%	546.2MiB / 1GiB				572960768	810082304	430555136	16384	88907776	49147904	3	1
1788513562.559998096	178.82%	560.6MiB / 1GiB				588087296	810082304	441413632	16384	92860416	49315840	3	1
1788513564.570742250	178.79%	562.1MiB / 1GiB				589389824	810082304	441757696	16384	94519296	48816128	3	1
1788513566.581125058	199.92%	562.3MiB / 1GiB				589111296	810082304	441765888	16384	94490624	48816128	3	1
1788513568.590160902	201.23%	562.3MiB / 1GiB				589680640	810082304	441790464	16384	94523392	48816128	3	1
1788513570.611456374	201.71%	562.3MiB / 1GiB				589656064	810082304	441798656	16384	94494720	48816128	3	1
1788513572.612800790	199.93%	572.4MiB / 1GiB				600186880	810082304	452325376	16384	94494720	48816128	3	1
1788513574.623150410	201.36%	572.4MiB / 1GiB				600199168	810082304	452329472	16384	94507008	48816128	3	1
1788513576.631975678	201.15%	572.4MiB / 1GiB				600231936	810082304	452337664	16384	94494720	48816128	3	1
1788513578.642926364	114.86%	571.9MiB / 1GiB				599662592	810082304	452345856	16384	94461952	48816128	3	1
1788513580.658761036	168.27%	572.4MiB / 1GiB				599973888	810082304	452345856	16384	94482432	48816128	3	1
1788513582.665445128	201.11%	582.5MiB / 1GiB				610283520	810082304	462880768	16384	94527488	48816128	3	1
1788513584.670262945	199.94%	582.5MiB / 1GiB				610766848	810082304	462884864	16384	94515200	48816128	3	1
1788513586.680974093	199.57%	582.5MiB / 1GiB				610758656	810082304	462893056	16384	94498816	48816128	3	1
1788513588.685521137	198.90%	582.4MiB / 1GiB				610754560	810082304	462897152	16384	94494720	48820224	3	1
1788513590.703181521	199.47%	582.5MiB / 1GiB				610799616	810082304	462901248	16384	94498816	48816128	3	1
1788513592.711250462	200.80%	592.6MiB / 1GiB				621383680	810082304	473477120	16384	94531584	48816128	3	1
1788513594.722548371	199.72%	592.5MiB / 1GiB				620834816	810082304	473481216	16384	94494720	48816128	3	1
1788513596.729062597	199.84%	592.6MiB / 1GiB				621350912	810082304	473485312	16384	94502912	48816128	3	1
1788513598.737830368	199.57%	592.6MiB / 1GiB				621391872	810082304	473485312	16384	94543872	48816128	3	1
1788513600.743833940	200.95%	592.3MiB / 1GiB				621375488	810082304	473485312	16384	94519296	48816128	3	1
1788513602.764779755	201.94%	600.6MiB / 1GiB				629846016	810082304	481959936	16384	94511104	48816128	3	1
1788513604.761358187	197.18%	600.6MiB / 1GiB				629563392	810082304	481959936	16384	94490624	48816128	3	1
1788513606.779794967	199.90%	600.7MiB / 1GiB				629846016	810082304	481976320	16384	94494720	48816128	3	1
1788513608.811907206	199.55%	600.7MiB / 1GiB				629858304	810082304	481976320	16384	94515200	48816128	3	1
1788513610.796217415	199.75%	600.7MiB / 1GiB				629850112	810082304	481980416	16384	94494720	48816128	3	1
1788513612.812387908	200.38%	600.7MiB / 1GiB				629878784	810082304	481984512	16384	94523392	48816128	3	1
1788513614.824479069	200.38%	600.7MiB / 1GiB				629608448	810082304	481988608	16384	94502912	48816128	3	1
1788513616.823105668	199.42%	600.7MiB / 1GiB				629858304	810082304	481988608	16384	94498816	48816128	3	1
1788513618.833481825	144.03%	600.5MiB / 1GiB				629661696	810082304	482230272	16384	94576640	48816128	3	1
1788513620.836585267	26.34%	621.8MiB / 1GiB				651870208	810082304	499175424	16384	99840000	48816128	3	1
1788513622.847920752	0.00%	629.9MiB / 1GiB				660533248	810082304	505425920	16384	102252544	48816128	3	1
1788513624.854749095	0.00%	629.9MiB / 1GiB				660533248	810082304	505425920	16384	102252544	48816128	3	1
1788513626.875353813	43.28%	679.6MiB / 1GiB				712601600	810082304	542892032	16384	116854784	48816128	3	1
1788513628.873722229	0.00%	684.4MiB / 1GiB				717651968	810082304	546525184	16384	118272000	48816128	3	1
1788513630.887483664	0.00%	684.4MiB / 1GiB				717651968	810082304	546525184	16384	118272000	48816128	3	1
1788513632.895793209	12.48%	725.1MiB / 1GiB				760291328	810082304	577204224	16384	130232320	48816128	3	1
1788513634.901863408	0.00%	725.1MiB / 1GiB				760291328	810082304	577204224	16384	130232320	48816128	3	1
1788513636.910862836	3.73%	728.6MiB / 1GiB				763994112	810082304	579870720	16384	131268608	48816128	3	1
1788513638.920300851	0.00%	733.2MiB / 1GiB				768876544	810082304	583385088	16384	132636672	48816128	3	1
1788513640.927952170	0.00%	733.2MiB / 1GiB				768876544	810082304	583385088	16384	132636672	48816128	3	1
1788513642.932060283	107.15%	775.2MiB / 1GiB				813359104	813617152	612843520	16384	145195008	50835456	3	1
1788513644.955448363	179.18%	786.3MiB / 1GiB				824238080	825597952	623038464	16384	148082688	48881664	3	1
1788513646.962765859	108.92%	794.2MiB / 1GiB				832806912	833351680	629448704	16384	150503424	48816128	3	1
1788513648.976793582	131.09%	799MiB / 1GiB				837861376	839053312	633085952	16384	151920640	48816128	3	1
1788513650.979732505	48.99%	808.7MiB / 1GiB				847966208	848662528	640360448	16384	154750976	48816128	3	1
1788513652.982725258	0.00%	811.4MiB / 1GiB				850874368	851877888	642457600	16384	155561984	48816128	3	1
1788513655.000456438	0.00%	811.4MiB / 1GiB				850874368	851877888	642457600	16384	155561984	48816128	3	1
1788513657.008816042	14.44%	800MiB / 1GiB				837488640	851963904	621834240	16384	147779584	50475008	3	1
1788513659.011936390	0.00%	682.2MiB / 1GiB				715350016	851963904	541106176	16384	105005056	48816128	3	1
1788513661.024228327	0.00%	682.2MiB / 1GiB				715350016	851963904	541106176	16384	105005056	48816128	3	1
1788513663.028456802	0.00%	682.2MiB / 1GiB				715350016	851963904	541106176	16384	105005056	48816128	3	1
1788513665.039230765	0.00%	692.3MiB / 1GiB				725905408	851963904	551661568	16384	105005056	48816128	3	1
1788513667.052621320	0.00%	646.2MiB / 1GiB				677584896	851963904	551661568	16384	105005056	495616	3	1
1788513669.060334258	0.00%	645.8MiB / 1GiB				677187584	851963904	551661568	16384	105005056	98304	3	1
1788513671.066201134	0.00%	645.8MiB / 1GiB				677183488	851963904	551661568	16384	105000960	98304	3	1
1788513673.070840209	0.00%	645.8MiB / 1GiB				677183488	851963904	551661568	16384	105000960	98304	3	1
1788513675.085812960	0.00%	656MiB / 1GiB				687837184	851963904	562315264	16384	105000960	98304	3	1
1788513677.093962023	0.00%	656MiB / 1GiB				687837184	851963904	562315264	16384	105000960	98304	3	1
1788513679.097790666	0.00%	656MiB / 1GiB				687837184	851963904	562315264	16384	105000960	98304	3	1
1788513681.104009132	86.56%	456.5MiB / 1GiB				478679040	851963904	387346432	16384	55238656	98304	3	1
1788513683.113144942	0.00%	456.5MiB / 1GiB				478679040	851963904	387346432	16384	55238656	98304	3	1
1788513685.125266596	0.00%	466.7MiB / 1GiB				489332736	851963904	398000128	16384	55238656	98304	3	1
1788513687.130981093	60.55%	177.1MiB / 1GiB				185724928	851963904	177623040	16384	7114752	98304	3	1
