timestamp	cpu_percent	memory_usage	conntrack_count	nf_conntrack_objects	nf_conntrack_bytes	memory_current	memory_peak_cgroup	memory_anon	memory_file	memory_kernel	memory_sock	pids_current	threads_current
1788516096.302382889	0.86%	6.496MiB / 1GiB				6811648	9883648	5595136	0	1191936	139264	13	13
1788516098.311611123	0.06%	59.86MiB / 1GiB				62767104	63324160	49172480	0	13594624	0	13	13
1788516100.317238339	0.07%	59.86MiB / 1GiB				62767104	63324160	49172480	0	13594624	0	13	13
1788516102.323949278	46.90%	103.6MiB / 1GiB				108630016	109137920	84615168	0	23945216	0	13	13
1788516104.332993398	44.51%	181.2MiB / 1GiB				189956096	190451712	147709952	0	42246144	0	13	13
1788516106.356227157	48.56%	258.9MiB / 1GiB				271486976	272007168	210804736	0	60682240	0	13	13
1788516108.365220338	51.64%	341.6MiB / 1GiB				358191104	358694912	278020096	0	80171008	0	13	13
1788516110.374195788	0.06%	346.1MiB / 1GiB				362950656	363458560	281706496	0	81244160	0	13	13
1788516112.381488159	126.80%	354MiB / 1GiB				371204096	371462144	287195136	0	83243008	266240	13	13
1788516114.391775785	199.16%	375.1MiB / 1GiB				393797632	394326016	305569792	0	88535040	69632	13	13
1788516116.400681204	179.47%	388MiB / 1GiB				406814720	407343104	315301888	0	91598848	217088	13	13
1788516118.401820543	197.05%	406.7MiB / 1GiB				426442752	426704896	329801728	0	96088064	323584	13	13
1788516120.415281686	200.38%	424.4MiB / 1GiB				445345792	445636608	344014848	0	100474880	618496	13	13
1788516122.426663812	199.91%	438.6MiB / 1GiB				460193792	460476416	355233792	0	103944192	827392	13	13
1788516124.431152857	200.15%	454.1MiB / 1GiB				476753920	477016064	367714304	0	107651072	905216	13	13
1788516126.439665966	180.36%	471.3MiB / 1GiB				494235648	494743552	383045632	0	110927872	0	13	13
1788516128.452696738	37.11%	472.5MiB / 1GiB				495648768	496164864	383565824	0	111398912	196608	13	13
1788516130.471073478	134.69%	483.8MiB / 1GiB				507334656	507895808	393404416	0	113930240	0	13	13
1788516132.466750030	0.05%	489.7MiB / 1GiB				513445888	515809280	398139392	0	115306496	0	13	13
1788516134.477371633	200.27%	498.7MiB / 1GiB				522952704	523210752	404148224	0	118018048	675840	13	13
1788516136.487652405	199.92%	515.4MiB / 1GiB				540479488	540995584	418484224	0	121434112	180224	13	13
1788516138.498320336	178.80%	526.9MiB / 1GiB				552546304	552812544	427614208	0	124211200	303104	13	13
1788516140.505450417	200.52%	536.6MiB / 1GiB				562937856	563195904	433356800	0	127504384	1679360	13	13
1788516142.516675967	200.38%	550.9MiB / 1GiB				577650688	578002944	447131648	0	130002944	299008	13	13
1788516144.523343461	200.75%	560.8MiB / 1GiB				588066816	588324864	453545984	0	133054464	1253376	13	13
1788516146.538046139	204.36%	577.1MiB / 1GiB				605151232	605659136	467619840	0	136507392	663552	13	13
1788516148.545574191	200.06%	588.9MiB / 1GiB				617361408	617951232	476434432	0	139530240	1269760	13	13
1788516150.554447565	200.10%	603.5MiB / 1GiB				632823808	633085952	488714240	0	142802944	950272	13	13
1788516152.560370636	199.49%	617MiB / 1GiB				647004160	647475200	499920896	0	145850368	757760	13	13
1788516154.572718270	200.00%	628.5MiB / 1GiB				659255296	659513344	509779968	0	148480000	536576	13	13
1788516156.573274504	200.77%	638.1MiB / 1GiB				668909568	669605888	517066752	0	150937600	901120	13	13
1788516158.583085532	200.47%	651.2MiB / 1GiB				682799104	683057152	528388096	0	153841664	487424	13	13
1788516160.596114707	177.73%	663.2MiB / 1GiB				695447552	696086528	538390528	0	156573696	372736	13	13
1788516162.604050063	200.02%	673.3MiB / 1GiB				706035712	706502656	545841152	0	159211520	868352	13	13
1788516164.617620555	189.38%	680.7MiB / 1GiB				713764864	714342400	553443328	0	160301056	0	13	13
1788516166.624121735	200.06%	682.5MiB / 1GiB				715898880	715902976	554369024	0	161009664	0	13	13
1788516168.634070090	201.55%	682.8MiB / 1GiB				715907072	716161024	554512384	0	160878592	0	13	13
1788516170.643807395	198.28%	683MiB / 1GiB				715960320	716222464	554737664	0	160968704	0	13	13
1788516172.646740141	200.63%	682.9MiB / 1GiB				716099584	718528512	554926080	0	160899072	16384	13	13
1788516174.657875861	200.47%	683.3MiB / 1GiB				716447744	718528512	555008000	0	160870400	53248	13	13
1788516176.671342236	200.25%	684.1MiB / 1GiB				717553664	718528512	555413504	0	161320960	540672	13	13
1788516178.685271800	200.95%	683.5MiB / 1GiB				716967936	718528512	555425792	0	161271808	12288	13	13
1788516180.684814303	200.77%	685.2MiB / 1GiB				718225408	719564800	555646976	0	161497088	1052672	13	13
1788516182.698906588	200.92%	685.1MiB / 1GiB				718381056	719843328	555847680	0	161480704	999424	13	13
1788516184.705647048	200.32%	685.3MiB / 1GiB				718540800	719843328	555573248	0	161435648	1142784	13	13
1788516186.710083206	200.03%	684.8MiB / 1GiB				718106624	719851520	555573248	0	161263616	1253376	13	13
1788516188.724939682	200.17%	686.5MiB / 1GiB				719581184	719851520	555978752	0	161382400	1953792	13	13
1788516190.729978532	201.00%	686.7MiB / 1GiB				720080896	720887808	556232704	0	161263616	2371584	13	13
1788516192.740803391	200.31%	687.2MiB / 1GiB				720633856	721436672	556609536	0	161234944	2383872	13	13
1788516194.743370911	200.70%	686.7MiB / 1GiB				720154624	721436672	556646400	0	161538048	1519616	13	13
1788516196.755081002	200.25%	687.3MiB / 1GiB				720695296	723111936	556646400	0	161972224	1966080	13	13
1788516198.763427155	200.87%	687.3MiB / 1GiB				720691200	723111936	556687360	0	161755136	1785856	13	13
1788516200.774139696	201.90%	687.8MiB / 1GiB				721154048	723111936	556654592	0	161591296	2375680	13	13
1788516202.783389763	200.47%	687.1MiB / 1GiB				720171008	723111936	556765184	0	161304576	1896448	13	13
1788516204.787698522	200.49%	685.9MiB / 1GiB				719183872	723111936	556580864	0	161026048	1249280	13	13
1788516206.794877899	200.25%	685.2MiB / 1GiB				718483456	723111936	556544000	0	160854016	614400	13	13
1788516208.807258322	199.60%	684MiB / 1GiB				717266944	723111936	555724800	0	160763904	262144	13	13
1788516210.829968640	199.89%	684.8MiB / 1GiB				717754368	723111936	555724800	0	160968704	897024	13	13
1788516212.842268113	200.68%	686MiB / 1GiB				719351808	723111936	556109824	0	161267712	1789952	13	13
1788516214.849400016	200.92%	686MiB / 1GiB				719532032	723111936	556388352	0	161271808	1421312	13	13
1788516216.886715170	203.01%	729.5MiB / 1GiB				764960768	764985344	556388352	0	161390592	46649344	13	13
1788516218.866052942	199.65%	728.8MiB / 1GiB				764223488	766382080	556388352	0	160960512	46751744	13	13
1788516220.871117055	196.88%	712.9MiB / 1GiB				746774528	766382080	555962368	0	144388096	45690880	13	13
1788516222.894225538	198.54%	672.5MiB / 1GiB				704864256	766382080	555732992	0	102899712	46116864	13	13
1788516224.886247441	200.25%	670.6MiB / 1GiB				703127552	766382080	555732992	0	101949440	45363200	13	13
1788516226.900209997	199.96%	671.5MiB / 1GiB				704053248	766382080	555732992	0	102199296	45965312	13	13
1788516228.908514398	198.73%	671.1MiB / 1GiB				703164416	766382080	555732992	0	102010880	45408256	13	13
1788516230.918917125	198.25%	670.9MiB / 1GiB				703221760	766382080	555732992	0	101732352	45494272	13	13
1788516232.926258681	199.68%	670.5MiB / 1GiB				703082496	766382080	555732992	0	101810176	45285376	13	13
1788516234.935331591	202.56%	670.7MiB / 1GiB				703303680	766382080	555732992	0	101769216	45285376	13	13
1788516236.942693764	201.46%	670.7MiB / 1GiB				703303680	766382080	555732992	0	101871616	45432832	13	13
1788516238.949349751	201.77%	671MiB / 1GiB				703623168	766382080	555732992	0	101953536	45563904	13	13
1788516240.972971651	199.80%	670.2MiB / 1GiB				702705664	766382080	555732992	0	101638144	45305856	13	13
1788516242.970652531	200.55%	670.5MiB / 1GiB				703098880	766382080	555732992	0	101556224	45285376	13	13
1788516244.979399562	200.68%	670.4MiB / 1GiB				703238144	766382080	555732992	0	101699584	45285376	13	13
1788516246.988044202	201.31%	670.6MiB / 1GiB				703197184	766382080	555732992	0	101838848	45314048	13	13
1788516248.993680260	200.31%	670.6MiB / 1GiB				702959616	766382080	555732992	0	101683200	45285376	13	13
1788516251.005243428	201.15%	669.9MiB / 1GiB				702652416	766382080	555732992	0	101380096	45285376	13	13
1788516253.012032143	200.29%	670.5MiB / 1GiB				703102976	766382080	555732992	0	101564416	45285376	13	13
1788516255.016943505	200.42%	670.3MiB / 1GiB				702910464	766382080	555732992	0	101376000	45285376	13	13
1788516257.030276306	200.84%	670.5MiB / 1GiB				702996480	766382080	555732992	0	101462016	45285376	13	13
1788516259.041452508	68.67%	670.5MiB / 1GiB				703074304	766382080	555732992	0	101523456	45285376	13	13
1788516261.044114049	199.90%	670.2MiB / 1GiB				703152128	766382080	555732992	0	101605376	45285376	13	13
1788516263.056109069	200.01%	670.1MiB / 1GiB				703156224	766382080	555732992	0	101613568	45285376	13	13
1788516265.064121898	199.71%	670.3MiB / 1GiB				702840832	766382080	555732992	0	101298176	45285376	13	13
1788516267.075248871	200.90%	670.5MiB / 1GiB				703057920	766382080	555732992	0	101523456	45285376	13	13
1788516269.078917614	202.60%	670.3MiB / 1GiB				702812160	766382080	555732992	0	101535744	45285376	13	13
1788516271.091434591	201.06%	670.2MiB / 1GiB				703025152	766382080	555732992	0	101490688	45285376	13	13
1788516273.095720789	199.87%	670.6MiB / 1GiB				702914560	766382080	555732992	0	101371904	45285376	13	13
1788516275.110183289	201.10%	670.2MiB / 1GiB				703041536	766382080	555732992	0	101466112	45285376	13	13
1788516277.115731962	73.40%	670.7MiB / 1GiB				703062016	766382080	555732992	0	101752832	45314048	13	13
1788516279.121403725	200.38%	672MiB / 1GiB				704606208	766382080	555732992	0	102875136	45473792	13	13
1788516281.128611906	157.52%	670.8MiB / 1GiB				703397888	766382080	555732992	0	102359040	45285376	13	13
1788516283.136916825	4.21%	670.5MiB / 1GiB				703070208	766382080	555732992	0	102051840	45285376	13	13
1788516285.149741534	0.06%	670.5MiB / 1GiB				703062016	766382080	555732992	0	102043648	45285376	13	13
1788516287.157532195	0.06%	671.8MiB / 1GiB				704462848	766382080	555732992	0	103444480	45285376	13	13
1788516289.169279947	0.06%	674.5MiB / 1GiB				707256320	766382080	555732992	0	106237952	45285376	13	13
1788516291.177561930	0.06%	674.5MiB / 1GiB				707256320	766382080	555732992	0	106237952	45285376	13	13
1788516293.182205062	0.06%	674.5MiB / 1GiB				707256320	766382080	555732992	0	106237952	45285376	13	13
1788516295.189690246	0.06%	674.5MiB / 1GiB				707256320	766382080	555732992	0	106237952	45285376	13	13
1788516297.194950404	0.07%	674.5MiB / 1GiB				707256320	766382080	555732992	0	106237952	45285376	13	13
1788516299.205053729	0.05%	674.5MiB / 1GiB				707256320	766382080	555732992	0	106237952	45285376	13	13
1788516301.226169787	0.06%	674.5MiB / 1GiB				707256320	766382080	555732992	0	106237952	45285376	13	13
1788516303.227983482	0.08%	674.5MiB / 1GiB				707256320	766382080	555732992	0	106237952	45285376	13	13
1788516305.234150978	0.06%	674.5MiB / 1GiB				707256320	766382080	555732992	0	106237952	45285376	13	13
1788516307.237791631	0.06%	674.5MiB / 1GiB				707256320	766382080	555732992	0	106237952	45285376	13	13
1788516309.250329523	82.86%	651.2MiB / 1GiB				681975808	766382080	555732992	0	76828672	48041984	13	13
1788516311.259775686	0.05%	644.2MiB / 1GiB				675491840	766382080	555732992	0	71716864	48041984	13	13
1788516313.266013746	0.06%	644.2MiB / 1GiB				675491840	766382080	555732992	0	71716864	48041984	13	13
1788516315.278789307	0.05%	644.2MiB / 1GiB				675491840	766382080	555732992	0	71397376	48107520	13	13
1788516317.280348443	0.07%	614.7MiB / 1GiB				644538368	766382080	555732992	0	38920192	49885184	13	13
