timestamp	cpu_percent	memory_usage	conntrack_count	nf_conntrack_objects	nf_conntrack_bytes	memory_current	memory_peak_cgroup	memory_anon	memory_file	memory_kernel	memory_sock	pids_current	threads_current
1788517747.471869488	6.80%	180.3MiB / 1GiB				189739008	189943808	184844288	16384	2342912	2060288	3	1
1788517749.491118699	47.29%	323.1MiB / 1GiB				338829312	339329024	287125504	16384	21540864	30240768	3	1
1788517751.496443734	0.00%	377.6MiB / 1GiB				395988992	396922880	326180864	16384	28819456	40972288	3	1
1788517753.500247705	0.00%	377.6MiB / 1GiB				395988992	396922880	326180864	16384	28819456	40972288	3	1
1788517755.508689565	0.00%	377.6MiB / 1GiB				395988992	396922880	326180864	16384	28819456	40972288	3	1
1788517757.512751182	0.00%	377.6MiB / 1GiB				395988992	396922880	326180864	16384	28819456	40972288	3	1
1788517759.518759387	0.00%	377.6MiB / 1GiB				395988992	396922880	326180864	16384	28819456	40972288	3	1
1788517761.530159270	0.00%	377.6MiB / 1GiB				395988992	396922880	326180864	16384	28819456	40972288	3	1
1788517763.540016776	0.00%	377.6MiB / 1GiB				395988992	396922880	326180864	16384	28819456	40972288	3	1
1788517765.552871019	0.00%	377.6MiB / 1GiB				395988992	396922880	326180864	16384	28819456	40972288	3	1
1788517767.555237962	0.00%	377.6MiB / 1GiB				395988992	396922880	326180864	16384	28819456	40972288	3	1
1788517769.565663664	0.00%	377.6MiB / 1GiB				395988992	396922880	326180864	16384	28819456	40972288	3	1
1788517771.570725611	0.00%	383.9MiB / 1GiB				402526208	403316736	332718080	16384	28819456	40972288	3	1
1788517773.574569896	0.00%	383.9MiB / 1GiB				402526208	403316736	332718080	16384	28819456	40972288	3	1
1788517775.586748012	0.00%	383.9MiB / 1GiB				402526208	403316736	332718080	16384	28819456	40972288	3	1
1788517777.594252451	0.00%	383.9MiB / 1GiB				402526208	403316736	332718080	16384	28819456	40972288	3	1
1788517779.603010267	0.00%	383.9MiB / 1GiB				402526208	403316736	332718080	16384	28819456	40972288	3	1
1788517781.684103651	0.00%	393.8MiB / 1GiB				412983296	413765632	343175168	16384	28819456	40972288	3	1
