timestamp	cpu_percent	memory_usage	conntrack_count	nf_conntrack_objects	nf_conntrack_bytes	memory_current	memory_peak_cgroup	memory_anon	memory_file	memory_kernel	memory_sock	pids_current	threads_current
1788518113.762253734	7.97%	14.71MiB / 1GiB				17944576	18432000	13643776	0	2576384	2572288	13	13
1788518115.770146430	61.03%	148.7MiB / 1GiB				159182848	159490048	103526400	0	23146496	32268288	13	13
1788518117.770300506	0.06%	191.3MiB / 1GiB				200630272	201187328	130441216	0	29216768	40972288	13	13
1788518119.779662167	0.07%	191.3MiB / 1GiB				200630272	201187328	130441216	0	29216768	40972288	13	13
1788518121.789838378	0.06%	191.3MiB / 1GiB				200630272	201187328	130441216	0	29216768	40972288	13	13
1788518123.798071141	0.07%	191.3MiB / 1GiB				200630272	201187328	130441216	0	29216768	40972288	13	13
1788518125.810182720	0.06%	191.3MiB / 1GiB				200630272	201187328	130441216	0	29216768	40972288	13	13
1788518127.816994334	0.06%	191.3MiB / 1GiB				200630272	201187328	130441216	0	29216768	40972288	13	13
1788518129.824636601	0.06%	191.3MiB / 1GiB				200630272	201187328	130441216	0	29216768	40972288	13	13
1788518131.834549712	0.06%	191.3MiB / 1GiB				200630272	201187328	130441216	0	29216768	40972288	13	13
1788518133.840084647	0.07%	191.3MiB / 1GiB				200630272	201187328	130441216	0	29216768	40972288	13	13
1788518135.846990674	0.05%	191.3MiB / 1GiB				200630272	201187328	130441216	0	29216768	40972288	13	13
1788518137.855726631	0.07%	191.3MiB / 1GiB				200630272	201187328	130441216	0	29216768	40972288	13	13
1788518139.863805807	0.05%	196MiB / 1GiB				205529088	205946880	135340032	0	29216768	40972288	13	13
1788518141.876899316	0.07%	196MiB / 1GiB				205529088	205946880	135340032	0	29216768	40972288	13	13
1788518143.883951599	0.06%	196MiB / 1GiB				205529088	205946880	135340032	0	29216768	40972288	13	13
1788518145.891714551	0.05%	196MiB / 1GiB				205529088	205946880	135340032	0	29216768	40972288	13	13
