timestamp	cpu_percent	memory_usage	conntrack_count	nf_conntrack_objects	nf_conntrack_bytes	memory_current	memory_peak_cgroup	memory_anon	memory_file	memory_kernel	memory_sock	pids_current	threads_current
1788520360.263632414	5.18%	20.66MiB / 1GiB				24637440	25419776	19914752	3211264	1142784	806912	8	8
1788520362.264342353	14.05%	263.5MiB / 1GiB				279232512	279633920	252862464	3211264	9908224	13250560	9	9
1788520364.269065346	0.00%	263.5MiB / 1GiB				279232512	279633920	252862464	3211264	9908224	13250560	9	9
1788520366.278764885	75.99%	447MiB / 1GiB				476241920	478601216	432664576	3211264	17760256	24588288	9	9
1788520368.284626448	0.00%	499.2MiB / 1GiB				526376960	527122432	475627520	3211264	19869696	27668480	9	9
1788520370.299545533	0.00%	499.2MiB / 1GiB				526376960	527122432	475627520	3211264	19869696	27668480	9	9
1788520372.303135730	51.53%	625.1MiB / 1GiB				658391040	661028864	595456000	3211264	24903680	34820096	10	10
1788520374.318636459	74.61%	884MiB / 1GiB				930013184	930664448	844369920	3211264	34312192	48365568	10	10
1788520376.323381777	151.78%	964.7MiB / 1GiB				1014329344	1014812672	906969088	3211264	42524672	60420096	10	10
1788520378.329208572	0.00%	995MiB / 1GiB				1046278144	1046904832	932315136	3211264	44482560	63246336	10	10
1788520380.348693705	0.00%	995MiB / 1GiB				1046278144	1046904832	932315136	3211264	44482560	63246336	10	10
1788520382.352624088	69.60%	1017MiB / 1GiB				1069256704	1070166016	949936128	3211264	45867008	65253376	10	10
1788520384.349890547	0.00%	1017MiB / 1GiB				1069256704	1070166016	949936128	3211264	45867008	65253376	10	10
1788520386.361709617	0.00%	1017MiB / 1GiB				1069256704	1070166016	949936128	3211264	45867008	65253376	10	10
1788520388.375665597	168.03%	1023MiB / 1GiB				1073664000	1074008064	939397120	1466368	50225152	71430144	10	10
1788520390.402133213	128.12%	1015MiB / 1GiB				1065312256	1074008064	922300416	1441792	53485568	76161024	10	10
1788520392.401642463	102.66%	991.8MiB / 1GiB				1042018304	1074008064	765612032	1441792	47493120	66990080	10	10
1788520394.407364144	0.00%	995.9MiB / 1GiB				1045012480	1074008064	766930944	1441792	47620096	67186688	10	10
1788520396.416878682	184.09%	966.4MiB / 1GiB				1013874688	1074008064	667271168	1441792	39641088	55058432	10	10
1788520398.423434774	78.97%	983.5MiB / 1GiB				1031593984	1074008064	610897920	1441792	40685568	56664064	10	10
1788520400.428800112	0.63%	980.5MiB / 1GiB				1028870144	1074008064	594976768	1441792	40685568	56664064	10	10
1788520402.442732907	30.16%	984.2MiB / 1GiB				1032867840	1074008064	609411072	1441792	36319232	50130944	10	10
1788520404.447837206	65.62%	1003MiB / 1GiB				1052086272	1074008064	556961792	1441792	35532800	48865280	10	10
1788520406.468304448	87.32%	1023MiB / 1GiB				1054158848	1074008064	522817536	974848	34742272	47788032	10	10
1788520408.465445296	141.21%	683.4MiB / 1GiB				718548992	1074008064	567558144	880640	41467904	57876480	10	10
