timestamp	cpu_percent	memory_usage	conntrack_count	nf_conntrack_objects	nf_conntrack_bytes	memory_current	memory_peak_cgroup	memory_anon	memory_file	memory_kernel	memory_sock	pids_current	threads_current
1788522540.585651446	3.24%	612KiB / 1GiB	1252	19378	5163264	946176	11485184	110592	0	757760	0	1	1
1788522542.553957294	2.38%	720KiB / 1GiB	8685	42839	11181568	1110016	11485184	110592	0	823296	0	1	1
1788522544.511038201	1.82%	1.609MiB / 1GiB	10433	48703	12467968	1097728	11485184	110592	0	573440	0	1	1
1788522546.565255644	2.14%	628KiB / 1GiB	12245	56941	14616320	724992	15007744	110592	0	524288	0	1	1
1788522548.575850650	2.32%	620KiB / 1GiB	19948	83488	21372928	1085440	15007744	110592	0	970752	0	1	1
1788522550.590353153	2.50%	620KiB / 1GiB	24618	98080	25329664	1474560	15007744	110592	0	647168	0	1	1
1788522552.599874753	2.40%	616KiB / 1GiB	28187	111232	28672000	1052672	15007744	110592	0	536576	0	1	1
1788522554.625002034	2.25%	624KiB / 1GiB	31443	123008	31490048	970752	15007744	110592	0	786432	0	1	1
1788522556.579142498	2.16%	620KiB / 1GiB	35443	136512	35045376	1015808	15007744	110592	0	868352	0	1	1
1788522558.593767967	2.31%	628KiB / 1GiB	37187	143072	36626432	1110016	15007744	110592	0	790528	0	1	1
1788522560.585511019	2.04%	688KiB / 1GiB	37935	144992	37117952	1093632	15007744	110592	0	970752	0	1	1
1788522562.601517596	2.43%	668KiB / 1GiB	37935	144992	37117952	1093632	15007744	110592	0	802816	0	1	1
1788522564.603201167	2.56%	688KiB / 1GiB	39248	149760	38338560	1093632	15007744	110592	0	966656	0	1	1
1788522566.632849179	2.41%	624KiB / 1GiB	39248	149760	38338560	946176	15007744	110592	0	782336	0	1	1
1788522568.616320861	2.18%	620KiB / 1GiB	39248	149792	38346752	1032192	15007744	110592	0	827392	0	1	1
1788522570.638439286	2.20%	752KiB / 1GiB	39743	151616	38813696	929792	15007744	110592	0	598016	0	1	1
1788522572.630611710	1.08%	624KiB / 1GiB	39743	151616	38813696	1019904	15007744	110592	0	897024	0	1	1
1788522574.660480344	2.19%	624KiB / 1GiB	39527	152887	39189248	987136	15007744	110592	0	827392	0	1	1
1788522576.685803300	2.67%	620KiB / 1GiB	40042	157147	40229632	1089536	15007744	110592	0	782336	0	1	1
1788522578.671611460	2.04%	628KiB / 1GiB	40040	157143	40228608	1093632	15007744	110592	0	966656	0	1	1
1788522580.696127381	2.05%	620KiB / 1GiB	38669	153747	39250944	1060864	15007744	110592	0	798720	0	1	1
1788522582.679739690	2.08%	624KiB / 1GiB	22626	90861	23260416	1126400	15007744	110592	0	602112	0	1	1
1788522584.681296791	2.36%	624KiB / 1GiB	22625	90861	23260416	970752	15007744	110592	0	827392	0	1	1
1788522586.686737332	2.74%	632KiB / 1GiB	22624	90861	23260416	1114112	15007744	110592	0	782336	0	1	1
1788522588.707753624	2.05%	680KiB / 1GiB	14301	60027	15366912	1011712	15007744	110592	0	806912	0	1	1
1788522590.705947165	2.55%	660KiB / 1GiB	14301	60027	15366912	1130496	15007744	110592	0	978944	0	1	1
1788522592.719615266	2.23%	764KiB / 1GiB	14301	60027	15366912	1056768	15007744	110592	0	942080	0	1	1
1788522594.726689070	2.28%	684KiB / 1GiB	14300	60027	15366912	1130496	15007744	110592	0	794624	0	1	1
1788522596.740484965	2.79%	676KiB / 1GiB	10746	47580	12180480	1007616	15007744	110592	0	765952	0	1	1
1788522598.742259144	2.16%	812KiB / 1GiB	10746	47580	12180480	1105920	15007744	110592	0	610304	0	1	1
1788522600.743012815	0.69%	628KiB / 1GiB	10746	47580	12180480	1110016	15007744	110592	0	815104	0	1	1
1788522602.794868660	2.45%	624KiB / 1GiB	10746	47580	12180480	1064960	15007744	110592	0	925696	0	1	1
1788522604.784419026	2.14%	672KiB / 1GiB	10746	47580	12180480	1175552	15007744	110592	0	991232	0	1	1
1788522606.829545174	2.16%	676KiB / 1GiB	10745	47579	6209792	5992448	15007744	3952640	0	1134592	0	1	1
1788522608.774252602	2.18%	620KiB / 1GiB	4033	22585	5781760	1089536	15007744	110592	0	811008	0	1	1
1788522610.800648407	2.29%	620KiB / 1GiB	4032	22584	5781504	1097728	15007744	110592	0	913408	0	1	1
1788522612.839970473	2.96%	620KiB / 1GiB	0	6871	1758976	1044480	15007744	110592	0	823296	0	1	1
